,brand,model name,model color,storage,review,rating,star rating,ram,display_size,battery,discount
53,realme,realme P4 Lite 5G ,Mosaic Blue, 64 GB,755,11802,4.2,4 GB  ,6.8 inches,7000.0,43% off
54,OnePlus,OnePlus 11 5G ,Eternal Green, 256 GB,165,1900,4.5,16 GB  ,6.7 inch,5000.0,No Discount
55,POCO,POCO C85 5G ,Power Black, 128 GB,239,2282,3.8,4 GB  ,6.9 inch,6000.0,21% off
56,realme,realme P4 Power 5G ,TransSilver, 128 GB,749,7149,4.4,8 GB  ,6.8 inch,10001.0,9% off
57,vivo,vivo X200T ,Stellar Black, 256 GB,1562,7826,4.6,12 GB  ,6.67 inch,6200.0,25% off
58,OPPO,OPPO Reno13 5G ,Ivory White, 256 GB,530,4780,4.4,8 GB  ,6.59 inch,5600.0,No Discount
59,vivo,vivo V70 ,Lemon Yellow 2026, 256 GB,192,1589,4.6,8 GB  ,6.59 inches,6500.0,9% off
60,vivo,vivo V70 ,Passion Red 2026, 256 GB,192,1589,4.6,8 GB  ,6.59 inches,6500.0,9% off
61,IQOO,IQOO Z11 Lite 5G ,Solar Flame, 256 GB,0,0,0.0,6 GB  ,6.74 inch,6500.0,22% off
62,REDMI,REDMI Note 14 Pro+ 5G ,Titan Black, 256 GB,295,3406,4.4,8 GB  ,6.67 inch,6200.0,No Discount
63,OnePlus,OnePlus N6X ,Burgundy Red, 64 GB,0,0,0.0,4 GB  ,6.8 inch,7000.0,22% off
64,11,11 Lite NE ,Vinyl Black, 128 GB,4,25,3.7,6 GB  ,6.55 inch,4250.0,32% off
65,POCO,POCO M8 ,Glacial Blue, 128 GB,189,2080,4.3,8 GB  ,6.77 inch,5520.0,3% off
66,REDMI,REDMI Note 14 Pro+ 5G ,Phantom Purple, 256 GB,295,3406,4.4,8 GB  ,6.67 inch,6200.0,16% off
67,OPPO,OPPO Reno13 5G ,Ivory White, 128 GB,530,4780,4.4,8 GB  ,6.59 inch,5600.0,No Discount
68,OPPO,OPPO Reno13 5G ,Blue, 128 GB,530,4780,4.4,8 GB  ,6.59 inch,5600.0,No Discount
69,OnePlus,OnePlus 15R 5G ,Mint Breeze, 512 GB,124,1469,4.6,12 GB  ,6.83 inch,7400.0,7% off
70,Motorola,Motorola Edge 20 Fusion 5G ,Electric Graphite, 128 GB,2687,20491,4.0,6 GB  ,6.67 inch,5000.0,No Discount
71,OnePlus,OnePlus N6X ,Burgundy Red, 128 GB,0,0,0.0,4 GB  ,6.8 inch,7000.0,21% off
72,Samsung,Samsung Galaxy A07 5G ,Light Green, 128 GB,9,70,3.9,4 GB  ,17.13 inch,6000.0,2% off
73,REDMI,REDMI 15 5G ,Midnight Black, 128 GB,230,2988,4.3,6 GB  ,6.9 inch,7000.0,35% off
74,Samsung,Samsung Galaxy S26 Ultra 5G ,White, 512 GB,326,1052,4.6,12 GB  ,6.9 inch,5000.0,No Discount
75,realme,realme 16 Pro+ 5G ,Master Gold, 256 GB,123,855,4.6,12 GB  ,6.8 inch,7000.0,5% off
76,realme,realme P4R 5G ,Silver Glare, 128 GB,259,3219,4.4,6 GB  ,6.8 inch,8000.0,45% off
77,realme,realme P4 Power 5G ,TransSilver, 128 GB,745,7121,4.4,8 GB  ,6.8 inch,10001.0,9% off
78,Infinix,Infinix HOT 60i 5G ,Monsoon Green, 128 GB,141,1513,4.3,4 GB  ,6.75 inch,6000.0,32% off
79,Apple,Apple iPhone 16e ,White, 256 GB,109,1434,4.5,"256 GB ROM
15.49 cm (6.1 inch) Super Retina XDR Display
48MP Rear Camera ",6.1 inch,,No Discount
80,vivo,vivo X200T ,Stellar Black, 256 GB,1552,7772,4.6,12 GB  ,6.67 inch,6200.0,25% off
81,REDMI,REDMI 15 5G ,Frosted White, 256 GB,300,4774,4.3,8 GB  ,6.9 inch,7000.0,1% off
82,Apple,Apple iPhone 16e ,Black, 256 GB,109,1434,4.5,"256 GB ROM
15.49 cm (6.1 inch) Super Retina XDR Display
48MP Rear Camera ",6.1 inch,,No Discount
83,Ai+,Ai+ Nova 2 Neo 5G ,Green, 64 GB,109,987,4.4,4 GB  ,6.745 inch,6000.0,22% off
84,Samsung,Samsung Galaxy S26 Ultra 5G ,Black, 256 GB,326,1052,4.6,12 GB  ,6.9 inch,5000.0,10% off
85,Samsung,Samsung Galaxy A06 5G ,Light Green, 128 GB,327,4466,4.1,4 GB  ,6.7 inch,5000.0,29% off
86,OPPO,OPPO Reno14 5G ,Pearl White, 256 GB,831,6274,4.5,8 GB  ,6.59 inch,6000.0,No Discount
87,OPPO,OPPO Reno14 5G ,Forest Green, 256 GB,831,6274,4.5,8 GB  ,6.59 inch,6000.0,No Discount
88,OPPO,OPPO Reno16 5G ,Stellar Purple, 256 GB,30,108,4.5,8 GB  ,6.32 inch,6700.0,31% off
89,OPPO,OPPO Reno16 5G ,Twilight Violet, 256 GB,9,37,4.4,12 GB  ,6.32 inch,6700.0,32% off
90,OPPO,OPPO A6x 5G ,Ice Blue, 128 GB,10,171,4.3,6 GB  ,6.75 inch,6500.0,4% off
91,realme,realme 16 Pro+ 5G ,Master Grey, 256 GB,123,855,4.6,12 GB  ,6.8 inch,7000.0,5% off
92,IQOO,IQOO 15R 5G ,Dark Knight, 256 GB,42,330,4.7,8 GB  ,6.59 inch,7600.0,3% off
93,Samsung,Samsung Galaxy S24 5G Snapdragon ,Onyx Black, 128 GB,4568,57433,4.6,8 GB  ,6.2 inch,4000.0,33% off
94,OPPO,OPPO Reno16 5G ,Starry White, 256 GB,9,37,4.4,12 GB  ,6.32 inch,6700.0,32% off
95,Ai+,Ai+ Nova 2 Neo 5G ,Red, 64 GB,109,987,4.4,4 GB  ,6.745 inch,6000.0,22% off
